benchmark,sample_id,case_type,actual_label,predicted_label,method,level_pct,mask_area_px,target_area_px,control_area_px,control_n_draws,n_components,largest_component_area_frac,n_junction_seeds,n_corner_seeds,geometry_fraction,narrow_gap_fraction,thin_line_fraction,boundary_proximity_mean,junction_recall,junction_density_per_kpx,corner_recall,corner_density_per_kpx,local_density_mean,control_geometry_fraction_mean,control_geometry_fraction_std,control_geometry_fraction_min,control_geometry_fraction_max,control_narrow_gap_fraction_mean,control_narrow_gap_fraction_std,control_narrow_gap_fraction_min,control_narrow_gap_fraction_max,control_thin_line_fraction_mean,control_thin_line_fraction_std,control_thin_line_fraction_min,control_thin_line_fraction_max,control_boundary_proximity_mean_mean,control_boundary_proximity_mean_std,control_boundary_proximity_mean_min,control_boundary_proximity_mean_max,control_junction_recall_mean,control_junction_recall_std,control_junction_recall_min,control_junction_recall_max,control_junction_density_per_kpx_mean,control_junction_density_per_kpx_std,control_junction_density_per_kpx_min,control_junction_density_per_kpx_max,control_corner_recall_mean,control_corner_recall_std,control_corner_recall_min,control_corner_recall_max,control_corner_density_per_kpx_mean,control_corner_density_per_kpx_std,control_corner_density_per_kpx_min,control_corner_density_per_kpx_max,control_local_density_mean_mean,control_local_density_mean_std,control_local_density_mean_min,control_local_density_mean_max
iccad1,HS32,TP,HS,HS,layercam,30,15053,15053,15360,30,7,0.0994,0,32,0.3273,0.2531,0.1127,4.995,0.0,0.0,0.5385,14.881,0.3304,0.2653,0.0404,0.1905,0.3763,0.1717,0.0187,0.1378,0.2106,0.0815,0.0097,0.0658,0.1039,8.5446,1.0918,6.566,11.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0988,0.0962,0.5024,7.7387,2.6762,2.604,13.607,0.2638,0.0359,0.1965,0.3598
iccad1,HS32,TP,HS,HS,occlusion,30,15053,15053,15360,30,7,0.0994,0,32,0.3644,0.2154,0.1095,5.859,0.0,0.0,0.5024,13.884,0.34,0.2653,0.0404,0.1905,0.3763,0.1717,0.0187,0.1378,0.2106,0.0815,0.0097,0.0658,0.1039,8.5446,1.0918,6.566,11.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0988,0.0962,0.5024,7.7387,2.6762,2.604,13.607,0.2638,0.0359,0.1965,0.3598
iccad1,HS123,TP,HS,HS,gradcam,10,5018,5018,5120,30,7,0.0994,5,36,0.0323,0.2838,0.0209,5.614,0.0,0.0,0.0919,8.569,0.3486,0.2637,0.0813,0.1,0.4428,0.1779,0.0474,0.0969,0.2627,0.0869,0.0259,0.0371,0.1396,9.5053,3.3329,4.531,17.682,0.3,0.4583,0.0,1.0,1.4649,2.2377,0.0,4.883,0.1405,0.0816,0.0,0.2799,12.8451,7.4602,0.0,25.586,0.2578,0.0661,0.1457,0.4003
iccad1,HS123,TP,HS,HS,gradcam_plus,10,5018,5018,5120,30,7,0.0994,5,36,0.0476,0.0939,0.0307,9.077,0.0,0.0,0.1474,13.75,0.1925,0.2637,0.0813,0.1,0.4428,0.1779,0.0474,0.0969,0.2627,0.0869,0.0259,0.0371,0.1396,9.5053,3.3329,4.531,17.682,0.3,0.4583,0.0,1.0,1.4649,2.2377,0.0,4.883,0.1405,0.0816,0.0,0.2799,12.8451,7.4602,0.0,25.586,0.2578,0.0661,0.1457,0.4003
iccad1,HS123,TP,HS,HS,layercam,10,5018,5018,5120,30,7,0.0994,5,36,0.391,0.3131,0.1457,3.753,0.52,2.591,0.1752,16.341,0.4065,0.2637,0.0813,0.1,0.4428,0.1779,0.0474,0.0969,0.2627,0.0869,0.0259,0.0371,0.1396,9.5053,3.3329,4.531,17.682,0.3,0.4583,0.0,1.0,1.4649,2.2377,0.0,4.883,0.1405,0.0816,0.0,0.2799,12.8451,7.4602,0.0,25.586,0.2578,0.0661,0.1457,0.4003
iccad1,HS123,TP,HS,HS,occlusion,10,5018,5018,5120,30,7,0.0994,5,36,0.4843,0.2838,0.1487,3.684,0.0,0.0,0.2009,18.733,0.4183,0.2637,0.0813,0.1,0.4428,0.1779,0.0474,0.0969,0.2627,0.0869,0.0259,0.0371,0.1396,9.5053,3.3329,4.531,17.682,0.3,0.4583,0.0,1.0,1.4649,2.2377,0.0,4.883,0.1405,0.0816,0.0,0.2799,12.8451,7.4602,0.0,25.586,0.2578,0.0661,0.1457,0.4003
iccad1,HS123,TP,HS,HS,gradcam,20,10035,10035,10240,30,7,0.0994,5,36,0.0668,0.2891,0.0436,5.694,0.0,0.0,0.1838,8.57,0.321,0.2385,0.0475,0.1349,0.3335,0.1643,0.0262,0.1166,0.2219,0.0793,0.0141,0.0475,0.113,9.6877,2.0542,6.133,14.578,0.1667,0.3727,0.0,1.0,0.4068,0.9097,0.0,2.441,0.2174,0.0674,0.094,0.3526,9.9349,3.0786,4.297,16.113,0.2367,0.0387,0.1537,0.309
iccad1,HS123,TP,HS,HS,gradcam_plus,20,10035,10035,10240,30,7,0.0994,5,36,0.0535,0.147,0.037,8.067,0.0,0.0,0.2158,10.065,0.2229,0.2385,0.0475,0.1349,0.3335,0.1643,0.0262,0.1166,0.2219,0.0793,0.0141,0.0475,0.113,9.6877,2.0542,6.133,14.578,0.1667,0.3727,0.0,1.0,0.4068,0.9097,0.0,2.441,0.2174,0.0674,0.094,0.3526,9.9349,3.0786,4.297,16.113,0.2367,0.0387,0.1537,0.309
iccad1,HS123,TP,HS,HS,layercam,20,10035,10035,10240,30,7,0.0994,5,36,0.3725,0.2827,0.1317,4.2,0.84,2.093,0.4359,20.329,0.3708,0.2385,0.0475,0.1349,0.3335,0.1643,0.0262,0.1166,0.2219,0.0793,0.0141,0.0475,0.113,9.6877,2.0542,6.133,14.578,0.1667,0.3727,0.0,1.0,0.4068,0.9097,0.0,2.441,0.2174,0.0674,0.094,0.3526,9.9349,3.0786,4.297,16.113,0.2367,0.0387,0.1537,0.309
iccad1,HS123,TP,HS,HS,occlusion,20,10035,10035,10240,30,7,0.0994,5,36,0.4189,0.2393,0.1221,4.885,0.0,0.0,0.3162,14.748,0.3824,0.2385,0.0475,0.1349,0.3335,0.1643,0.0262,0.1166,0.2219,0.0793,0.0141,0.0475,0.113,9.6877,2.0542,6.133,14.578,0.1667,0.3727,0.0,1.0,0.4068,0.9097,0.0,2.441,0.2174,0.0674,0.094,0.3526,9.9349,3.0786,4.297,16.113,0.2367,0.0387,0.1537,0.309
iccad1,HS123,TP,HS,HS,gradcam,30,15053,15053,15360,30,7,0.0994,5,36,0.1165,0.2922,0.0824,5.536,0.0,0.0,0.4124,12.821,0.3117,0.2643,0.0429,0.1816,0.3631,0.178,0.0261,0.1205,0.2425,0.0843,0.0113,0.063,0.1038,9.0683,1.7348,5.679,14.062,0.4,0.4899,0.0,1.0,0.6512,0.7976,0.0,1.628,0.3382,0.0954,0.1368,0.5299,10.306,2.9071,4.167,16.146,0.2646,0.035,0.1992,0.3374
iccad1,HS123,TP,HS,HS,gradcam_plus,30,15053,15053,15360,30,7,0.0994,5,36,0.0838,0.1527,0.0493,7.662,0.04,0.066,0.3718,11.559,0.2303,0.2643,0.0429,0.1816,0.3631,0.178,0.0261,0.1205,0.2425,0.0843,0.0113,0.063,0.1038,9.0683,1.7348,5.679,14.062,0.4,0.4899,0.0,1.0,0.6512,0.7976,0.0,1.628,0.3382,0.0954,0.1368,0.5299,10.306,2.9071,4.167,16.146,0.2646,0.035,0.1992,0.3374
iccad1,HS123,TP,HS,HS,layercam,30,15053,15053,15360,30,7,0.0994,5,36,0.3522,0.2636,0.1193,4.683,0.96,1.594,0.5769,17.937,0.3464,0.2643,0.0429,0.1816,0.3631,0.178,0.0261,0.1205,0.2425,0.0843,0.0113,0.063,0.1038,9.0683,1.7348,5.679,14.062,0.4,0.4899,0.0,1.0,0.6512,0.7976,0.0,1.628,0.3382,0.0954,0.1368,0.5299,10.306,2.9071,4.167,16.146,0.2646,0.035,0.1992,0.3374
iccad1,HS123,TP,HS,HS,occlusion,30,15053,15053,15360,30,7,0.0994,5,36,0.4009,0.254,0.1232,4.75,1.0,1.661,0.5085,15.811,0.3728,0.2643,0.0429,0.1816,0.3631,0.178,0.0261,0.1205,0.2425,0.0843,0.0113,0.063,0.1038,9.0683,1.7348,5.679,14.062,0.4,0.4899,0.0,1.0,0.6512,0.7976,0.0,1.628,0.3382,0.0954,0.1368,0.5299,10.306,2.9071,4.167,16.146,0.2646,0.035,0.1992,0.3374
iccad1,HS27,TP,HS,HS,gradcam,10,5018,5018,5120,30,6,0.0994,0,26,0.1708,0.3515,0.0986,5.676,0.0,0.0,0.1124,7.573,0.3291,0.2569,0.1064,0.0404,0.4662,0.1983,0.0471,0.107,0.2777,0.0743,0.026,0.024,0.1195,10.5778,4.0408,6.324,21.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085,0.0573,0.0,0.2574,7.1615,3.7814,0.0,16.992,0.2519,0.087,0.0806,0.4261
iccad1,HS27,TP,HS,HS,gradcam_plus,10,5018,5018,5120,30,6,0.0994,0,26,0.2001,0.1712,0.1006,7.238,0.0,0.0,0.1657,11.16,0.2907,0.2569,0.1064,0.0404,0.4662,0.1983,0.0471,0.107,0.2777,0.0743,0.026,0.024,0.1195,10.5778,4.0408,6.324,21.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085,0.0573,0.0,0.2574,7.1615,3.7814,0.0,16.992,0.2519,0.087,0.0806,0.4261
iccad1,HS27,TP,HS,HS,layercam,10,5018,5018,5120,30,6,0.0994,0,26,0.3414,0.328,0.1134,4.942,0.0,0.0,0.1657,11.16,0.3663,0.2569,0.1064,0.0404,0.4662,0.1983,0.0471,0.107,0.2777,0.0743,0.026,0.024,0.1195,10.5778,4.0408,6.324,21.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085,0.0573,0.0,0.2574,7.1615,3.7814,0.0,16.992,0.2519,0.087,0.0806,0.4261
iccad1,HS27,TP,HS,HS,occlusion,10,5018,5018,5120,30,6,0.0994,0,26,0.5068,0.3798,0.1744,3.213,0.0,0.0,0.3964,26.704,0.4303,0.2569,0.1064,0.0404,0.4662,0.1983,0.0471,0.107,0.2777,0.0743,0.026,0.024,0.1195,10.5778,4.0408,6.324,21.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085,0.0573,0.0,0.2574,7.1615,3.7814,0.0,16.992,0.2519,0.087,0.0806,0.4261
iccad1,HS27,TP,HS,HS,gradcam,20,10035,10035,10240,30,6,0.0994,0,26,0.1614,0.334,0.0629,5.467,0.0,0.0,0.2189,7.374,0.3289,0.2264,0.0554,0.131,0.3349,0.1832,0.0274,0.131,0.243,0.067,0.0128,0.0411,0.0995,11.2005,2.5713,7.216,16.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0756,0.0385,0.3846,6.3053,2.494,1.27,12.695,0.2291,0.0536,0.1362,0.3187
iccad1,HS27,TP,HS,HS,gradcam_plus,20,10035,10035,10240,30,6,0.0994,0,26,0.1253,0.2356,0.0524,7.456,0.0,0.0,0.1893,6.378,0.2572,0.2264,0.0554,0.131,0.3349,0.1832,0.0274,0.131,0.243,0.067,0.0128,0.0411,0.0995,11.2005,2.5713,7.216,16.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0756,0.0385,0.3846,6.3053,2.494,1.27,12.695,0.2291,0.0536,0.1362,0.3187
iccad1,HS27,TP,HS,HS,layercam,20,10035,10035,10240,30,6,0.0994,0,26,0.3115,0.2975,0.1001,5.4,0.0,0.0,0.2722,9.168,0.3311,0.2264,0.0554,0.131,0.3349,0.1832,0.0274,0.131,0.243,0.067,0.0128,0.0411,0.0995,11.2005,2.5713,7.216,16.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0756,0.0385,0.3846,6.3053,2.494,1.27,12.695,0.2291,0.0536,0.1362,0.3187
iccad1,HS27,TP,HS,HS,occlusion,20,10035,10035,10240,30,6,0.0994,0,26,0.4251,0.2953,0.13,4.899,0.0,0.0,0.5178,17.439,0.3657,0.2264,0.0554,0.131,0.3349,0.1832,0.0274,0.131,0.243,0.067,0.0128,0.0411,0.0995,11.2005,2.5713,7.216,16.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0756,0.0385,0.3846,6.3053,2.494,1.27,12.695,0.2291,0.0536,0.1362,0.3187
iccad1,HS27,TP,HS,HS,gradcam,30,15053,15053,15360,30,6,0.0994,0,26,0.1496,0.2919,0.064,6.188,0.0,0.0,0.3876,8.703,0.2944,0.2265,0.0471,0.1321,0.3215,0.182,0.0238,0.1389,0.2463,0.0685,0.0093,0.0469,0.0912,11.0511,1.6741,6.938,14.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.1169,0.074,0.4734,6.3824,2.5735,1.628,10.417,0.2254,0.0468,0.1345,0.3302
iccad1,HS27,TP,HS,HS,gradcam_plus,30,15053,15053,15360,30,6,0.0994,0,26,0.1007,0.2224,0.0439,7.641,0.0,0.0,0.4172,9.367,0.2333,0.2265,0.0471,0.1321,0.3215,0.182,0.0238,0.1389,0.2463,0.0685,0.0093,0.0469,0.0912,11.0511,1.6741,6.938,14.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.1169,0.074,0.4734,6.3824,2.5735,1.628,10.417,0.2254,0.0468,0.1345,0.3302
iccad1,HS27,TP,HS,HS,layercam,30,15053,15053,15360,30,6,0.0994,0,26,0.2993,0.2828,0.0957,5.713,0.0,0.0,0.3698,8.304,0.3137,0.2265,0.0471,0.1321,0.3215,0.182,0.0238,0.1389,0.2463,0.0685,0.0093,0.0469,0.0912,11.0511,1.6741,6.938,14.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.1169,0.074,0.4734,6.3824,2.5735,1.628,10.417,0.2254,0.0468,0.1345,0.3302
iccad1,HS27,TP,HS,HS,occlusion,30,15053,15053,15360,30,6,0.0994,0,26,0.3491,0.2669,0.1071,6.065,0.0,0.0,0.5858,13.154,0.3255,0.2265,0.0471,0.1321,0.3215,0.182,0.0238,0.1389,0.2463,0.0685,0.0093,0.0469,0.0912,11.0511,1.6741,6.938,14.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.1169,0.074,0.4734,6.3824,2.5735,1.628,10.417,0.2254,0.0468,0.1345,0.3302
iccad1,NNHS310_1,TN,NHS,NHS,gradcam,10,5018,5018,5120,30,7,0.0957,0,28,0.0002,0.0112,0.0002,19.912,0.0,0.0,0.0165,1.196,0.0238,0.2143,0.0817,0.0437,0.3781,0.1868,0.0552,0.0627,0.2859,0.073,0.0273,0.0211,0.1305,13.152,5.4155,5.731,25.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855,0.0549,0.0,0.2088,6.0807,3.9032,0.0,14.844,0.2154,0.072,0.058,0.3578
iccad1,NNHS310_1,TN,NHS,NHS,gradcam_plus,10,5018,5018,5120,30,7,0.0957,0,28,0.1132,0.2375,0.0506,7.862,0.0,0.0,0.1319,9.566,0.2097,0.2143,0.0817,0.0437,0.3781,0.1868,0.0552,0.0627,0.2859,0.073,0.0273,0.0211,0.1305,13.152,5.4155,5.731,25.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855,0.0549,0.0,0.2088,6.0807,3.9032,0.0,14.844,0.2154,0.072,0.058,0.3578
iccad1,NNHS310_1,TN,NHS,NHS,layercam,10,5018,5018,5120,30,7,0.0957,0,28,0.337,0.3304,0.103,4.923,0.0,0.0,0.1071,7.772,0.3483,0.2143,0.0817,0.0437,0.3781,0.1868,0.0552,0.0627,0.2859,0.073,0.0273,0.0211,0.1305,13.152,5.4155,5.731,25.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855,0.0549,0.0,0.2088,6.0807,3.9032,0.0,14.844,0.2154,0.072,0.058,0.3578
iccad1,NNHS310_1,TN,NHS,NHS,occlusion,10,5018,5018,5120,30,7,0.0957,0,28,0.7126,0.214,0.121,4.585,0.0,0.0,0.033,2.391,0.552,0.2143,0.0817,0.0437,0.3781,0.1868,0.0552,0.0627,0.2859,0.073,0.0273,0.0211,0.1305,13.152,5.4155,5.731,25.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855,0.0549,0.0,0.2088,6.0807,3.9032,0.0,14.844,0.2154,0.072,0.058,0.3578
iccad1,NNHS310_1,TN,NHS,NHS,gradcam,20,10035,10035,10240,30,7,0.0957,0,28,0.0269,0.0094,0.0069,22.441,0.0,0.0,0.0385,1.395,0.0311,0.2149,0.0701,0.0937,0.358,0.1736,0.0387,0.1036,0.2505,0.0658,0.0201,0.0348,0.11,13.1469,3.4191,5.849,21.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973,0.0879,0.0055,0.3544,7.015,3.1252,0.195,12.598,0.2141,0.0597,0.1132,0.3386
iccad1,NNHS310_1,TN,NHS,NHS,gradcam_plus,20,10035,10035,10240,30,7,0.0957,0,28,0.1145,0.2325,0.0535,7.455,0.0,0.0,0.3956,14.35,0.2176,0.2149,0.0701,0.0937,0.358,0.1736,0.0387,0.1036,0.2505,0.0658,0.0201,0.0348,0.11,13.1469,3.4191,5.849,21.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973,0.0879,0.0055,0.3544,7.015,3.1252,0.195,12.598,0.2141,0.0597,0.1132,0.3386
iccad1,NNHS310_1,TN,NHS,NHS,layercam,20,10035,10035,10240,30,7,0.0957,0,28,0.3357,0.2979,0.1071,5.258,0.0,0.0,0.3297,11.958,0.3289,0.2149,0.0701,0.0937,0.358,0.1736,0.0387,0.1036,0.2505,0.0658,0.0201,0.0348,0.11,13.1469,3.4191,5.849,21.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973,0.0879,0.0055,0.3544,7.015,3.1252,0.195,12.598,0.2141,0.0597,0.1132,0.3386
iccad1,NNHS310_1,TN,NHS,NHS,occlusion,20,10035,10035,10240,30,7,0.0957,0,28,0.5897,0.2536,0.128,4.556,0.0,0.0,0.0989,3.587,0.487,0.2149,0.0701,0.0937,0.358,0.1736,0.0387,0.1036,0.2505,0.0658,0.0201,0.0348,0.11,13.1469,3.4191,5.849,21.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973,0.0879,0.0055,0.3544,7.015,3.1252,0.195,12.598,0.2141,0.0597,0.1132,0.3386
iccad1,NNHS310_1,TN,NHS,NHS,gradcam,30,15053,15053,15360,30,7,0.0957,0,28,0.0496,0.0214,0.0143,21.483,0.0,0.0,0.0824,1.993,0.0483,0.2222,0.0402,0.1554,0.3007,0.1894,0.027,0.138,0.2445,0.0727,0.0125,0.0521,0.104,12.0017,2.5076,8.274,16.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991,0.1263,0.0714,0.6016,7.0877,2.9933,1.693,14.258,0.2207,0.0331,0.1558,0.281
iccad1,NNHS310_1,TN,NHS,NHS,gradcam_plus,30,15053,15053,15360,30,7,0.0957,0,28,0.1369,0.2617,0.0593,7.017,0.0,0.0,0.6319,15.279,0.2291,0.2222,0.0402,0.1554,0.3007,0.1894,0.027,0.138,0.2445,0.0727,0.0125,0.0521,0.104,12.0017,2.5076,8.274,16.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991,0.1263,0.0714,0.6016,7.0877,2.9933,1.693,14.258,0.2207,0.0331,0.1558,0.281
iccad1,NNHS310_1,TN,NHS,NHS,layercam,30,15053,15053,15360,30,7,0.0957,0,28,0.3262,0.2825,0.1066,5.572,0.0,0.0,0.5742,13.884,0.3177,0.2222,0.0402,0.1554,0.3007,0.1894,0.027,0.138,0.2445,0.0727,0.0125,0.0521,0.104,12.0017,2.5076,8.274,16.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991,0.1263,0.0714,0.6016,7.0877,2.9933,1.693,14.258,0.2207,0.0331,0.1558,0.281
iccad1,NNHS310_1,TN,NHS,NHS,occlusion,30,15053,15053,15360,30,7,0.0957,0,28,0.4335,0.2281,0.1004,5.808,0.0,0.0,0.1896,4.584,0.3989,0.2222,0.0402,0.1554,0.3007,0.1894,0.027,0.138,0.2445,0.0727,0.0125,0.0521,0.104,12.0017,2.5076,8.274,16.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991,0.1263,0.0714,0.6016,7.0877,2.9933,1.693,14.258,0.2207,0.0331,0.1558,0.281
iccad1,NNHS304_1,TN,NHS,NHS,gradcam,10,5018,5018,5120,30,7,0.0957,0,24,0.0,0.0058,0.0,26.478,0.0,0.0,0.0064,0.399,0.0108,0.2241,0.0672,0.0906,0.375,0.1601,0.0462,0.0766,0.2527,0.0738,0.0188,0.0342,0.1059,12.2374,4.4229,5.438,21.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041,0.0798,0.0,0.2917,6.341,4.8636,0.0,17.773,0.2291,0.0635,0.0997,0.3677
