benchmark,sample_id,case_type,actual_label,predicted_label,is_correct,p_hs,p_nhs,sample_dir,occlusion_sample_dir,window_size,stride,baseline_value,num_windows,runtime_sec,orig_target_score,max_occlusion_importance,min_occlusion_importance,mean_positive_importance,peak_attribution_x,peak_attribution_y,centroid_x,centroid_y,spatial_spread_radius,fraction_above_025,fraction_above_050,fraction_above_075,connected_regions_count,largest_region_area_px,edge_border_concentration,corr_gcam_pearson,corr_gcam_spearman,corr_gcam_cosine,corr_gcam_iou_50,corr_gcam_pp_pearson,corr_gcam_pp_spearman,corr_gcam_pp_cosine,corr_gcam_pp_iou_50,corr_layercam_pearson,corr_layercam_spearman,corr_layercam_cosine,corr_layercam_iou_50
iccad1,HS144,FN,HS,NHS,False,0.4375,0.5625,results/xai/iccad1/iccad1_FN_HS_predNHS_HS144,results/xai/occlusion/iccad1/iccad1_FN_HS_predNHS_HS144,32,16,0.0,169,0.247,0.2512,0.1173,-0.152,0.0116,176,112,173.1,146.5,46.58,0.1173,0.0408,0.0153,2,1280,0.1789,-0.2839,0.0956,0.0097,0.0,0.3055,-0.089,0.4439,0.1127,0.3631,0.0092,0.4862,0.0517
iccad2,HSCAD216,TP,HS,HS,True,0.9998,0.0002,results/xai/iccad2/iccad2_TP_HS_predHS_HSCAD216,results/xai/occlusion/iccad2/iccad2_TP_HS_predHS_HSCAD216,32,16,0.0,169,0.286,8.4297,3.5381,-0.4659,0.5634,112,96,111.48,92.97,59.25,0.1173,0.0561,0.0204,1,2816,0.0889,0.2406,0.4176,0.5796,0.0597,-0.1771,-0.3734,0.0195,0.0,0.7369,0.3753,0.8128,0.1807
iccad2,HSCAD2146,TP,HS,HS,True,0.9997,0.0003,results/xai/iccad2/iccad2_TP_HS_predHS_HSCAD2146,results/xai/occlusion/iccad2/iccad2_TP_HS_predHS_HSCAD2146,32,16,0.0,169,0.297,8.214,4.1404,-0.417,0.4883,112,96,112.2,103.35,64.69,0.0867,0.0459,0.0153,1,2304,0.1233,0.3209,0.3774,0.5907,0.0976,-0.1745,-0.3442,0.1084,0.0,0.7582,0.3488,0.823,0.1404
iccad2,HSCAD2155,TP,HS,HS,True,0.9995,0.0005,results/xai/iccad2/iccad2_TP_HS_predHS_HSCAD2155,results/xai/occlusion/iccad2/iccad2_TP_HS_predHS_HSCAD2155,32,16,0.0,169,0.264,7.6823,2.9812,-0.4184,0.5091,96,112,109.25,95.0,60.85,0.1276,0.0663,0.0357,1,3328,0.0977,0.2848,0.3321,0.6096,0.094,-0.1623,-0.2545,0.0848,0.0,0.737,0.3567,0.8185,0.244
iccad2,NNHSCAD2999_4,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2999_4,results/xai/occlusion/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2999_4,32,16,0.0,169,0.267,19.3534,0.6688,-0.3243,0.1596,96,96,117.43,89.66,69.78,0.3265,0.1224,0.0357,2,5632,0.1778,-0.3421,-0.3069,0.0372,0.0,-0.2625,-0.3649,0.2559,0.0135,-0.0038,-0.0926,0.4028,0.0107
iccad2,NNHSCAD2993_1,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2993_1,results/xai/occlusion/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2993_1,32,16,0.0,169,0.252,20.243,1.2703,-0.0217,0.1419,112,80,106.73,90.56,51.38,0.1582,0.102,0.0306,1,5120,0.0558,-0.5867,-0.6158,0.037,0.0,0.6455,0.5172,0.707,0.3654,0.0668,0.0715,0.3495,0.0004
iccad2,NNHSCAD2993_2,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2993_2,results/xai/occlusion/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2993_2,32,16,0.0,169,0.197,20.243,1.2703,-0.0217,0.1419,112,80,106.73,90.56,51.38,0.1582,0.102,0.0306,1,5120,0.0558,-0.5867,-0.6158,0.037,0.0,0.6455,0.5172,0.707,0.3654,0.0668,0.0715,0.3495,0.0004
iccad2,NNHSCAD23820_8,FP,NHS,HS,False,0.9998,0.0002,results/xai/iccad2/iccad2_FP_NHS_predHS_NNHSCAD23820_8,results/xai/occlusion/iccad2/iccad2_FP_NHS_predHS_NNHSCAD23820_8,32,16,0.0,169,0.202,8.7761,4.3211,-0.7284,0.5569,112,96,107.54,103.06,65.22,0.102,0.051,0.0255,1,2560,0.1318,0.5259,0.4471,0.6938,0.1707,0.3096,-0.0407,0.5725,0.1424,0.7533,0.2908,0.819,0.2426
iccad2,NNHSCAD22521_9,FP,NHS,HS,False,0.9999,0.0001,results/xai/iccad2/iccad2_FP_NHS_predHS_NNHSCAD22521_9,results/xai/occlusion/iccad2/iccad2_FP_NHS_predHS_NNHSCAD22521_9,32,16,0.0,169,0.196,8.8706,4.2831,-0.3772,0.5433,112,96,106.28,109.3,62.91,0.0969,0.0459,0.0255,1,2304,0.1079,0.5675,0.4986,0.7028,0.176,0.5338,0.2121,0.6845,0.2104,0.8171,0.4106,0.8648,0.3439
iccad2,NNHSCAD24052_9,FP,NHS,HS,False,0.9997,0.0003,results/xai/iccad2/iccad2_FP_NHS_predHS_NNHSCAD24052_9,results/xai/occlusion/iccad2/iccad2_FP_NHS_predHS_NNHSCAD24052_9,32,16,0.0,169,0.219,7.9757,5.0613,-0.8302,0.7225,112,96,112.25,101.35,66.3,0.102,0.0561,0.0306,1,2816,0.145,0.5295,0.4796,0.7023,0.2104,0.2471,-0.1221,0.5463,0.1531,0.727,0.3301,0.7909,0.2598
iccad2,HSCAD2494,FN,HS,NHS,False,0.0,1.0,results/xai/iccad2/iccad2_FN_HS_predNHS_HSCAD2494,results/xai/occlusion/iccad2/iccad2_FN_HS_predNHS_HSCAD2494,32,16,0.0,169,0.207,17.8624,0.7276,-0.6191,0.1091,112,112,114.19,120.5,52.2,0.1582,0.0969,0.0357,1,4864,0.0658,-0.3864,-0.1686,0.0248,0.0,-0.0647,-0.1701,0.3304,0.0456,-0.0419,-0.0144,0.2899,0.0075
iccad2,HSCAD2493,FN,HS,NHS,False,0.0,1.0,results/xai/iccad2/iccad2_FN_HS_predNHS_HSCAD2493,results/xai/occlusion/iccad2/iccad2_FN_HS_predNHS_HSCAD2493,32,16,0.0,169,0.29,11.4538,0.2875,-0.8652,0.0414,176,80,129.23,102.82,61.47,0.1378,0.0867,0.0408,2,3840,0.0718,-0.2754,0.1086,0.1113,0.0211,0.1396,-0.1048,0.4026,0.0755,0.1837,0.0703,0.4082,0.0437
iccad2,HSCAD2358,FN,HS,NHS,False,0.0014,0.9986,results/xai/iccad2/iccad2_FN_HS_predNHS_HSCAD2358,results/xai/occlusion/iccad2/iccad2_FN_HS_predNHS_HSCAD2358,32,16,0.0,169,0.266,6.5398,1.1927,-2.3936,0.187,176,80,149.68,88.66,76.82,0.0816,0.0408,0.0102,1,2048,0.3209,-0.0535,0.3373,0.119,0.006,0.1883,0.3585,0.3449,0.1032,0.3438,0.2526,0.4604,0.1029
iccad3,HSCAD31047,TP,HS,HS,True,0.9912,0.0088,results/xai/iccad3/iccad3_TP_HS_predHS_HSCAD31047,results/xai/occlusion/iccad3/iccad3_TP_HS_predHS_HSCAD31047,32,16,0.0,169,0.311,4.7203,5.8457,-0.9047,0.7886,96,96,108.26,102.03,60.94,0.1122,0.0561,0.0204,1,2816,0.1342,0.4859,0.4554,0.6408,0.1539,0.5715,0.4194,0.6712,0.2356,0.7142,0.5327,0.7874,0.1255
iccad3,HSCAD31012,TP,HS,HS,True,0.9997,0.0003,results/xai/iccad3/iccad3_TP_HS_predHS_HSCAD31012,results/xai/occlusion/iccad3/iccad3_TP_HS_predHS_HSCAD31012,32,16,0.0,169,0.255,8.2271,5.8157,-0.4285,0.7594,96,96,97.55,98.39,58.72,0.1173,0.0612,0.0204,1,3072,0.1121,0.5819,0.6173,0.7143,0.1779,0.5903,0.5609,0.6994,0.2777,0.7502,0.6476,0.8154,0.1346
iccad3,HSCAD31060,TP,HS,HS,True,1.0,0.0,results/xai/iccad3/iccad3_TP_HS_predHS_HSCAD31060,results/xai/occlusion/iccad3/iccad3_TP_HS_predHS_HSCAD31060,32,16,0.0,169,0.209,10.0668,4.5482,-0.6114,0.7644,96,96,96.01,108.61,62.23,0.1327,0.0612,0.0306,1,3072,0.1387,0.5562,0.5203,0.6819,0.1364,0.0,0.0,0.0,0.0,0.7494,0.4962,0.826,0.2321
iccad3,NHSCAD31_7,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad3/iccad3_TN_NHS_predNHS_NHSCAD31_7,results/xai/occlusion/iccad3/iccad3_TN_NHS_predNHS_NHSCAD31_7,32,16,0.0,169,0.246,21.1057,0.7634,-0.7558,0.2186,64,128,120.79,128.18,76.08,0.199,0.102,0.0357,2,3072,0.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3036,0.3052,0.4721,0.0295
iccad3,NNHSCAD35348_9,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad3/iccad3_TN_NHS_predNHS_NNHSCAD35348_9,results/xai/occlusion/iccad3/iccad3_TN_NHS_predNHS_NNHSCAD35348_9,32,16,0.0,169,0.198,26.9202,0.7199,-0.3747,0.234,64,128,99.23,115.91,54.85,0.2551,0.0765,0.0255,3,1792,0.0379,0.0,0.0,0.0,0.0,0.2096,0.2912,0.2876,0.0,0.3993,0.5306,0.507,0.029
iccad3,NNHSCAD35348_8,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad3/iccad3_TN_NHS_predNHS_NNHSCAD35348_8,results/xai/occlusion/iccad3/iccad3_TN_NHS_predNHS_NNHSCAD35348_8,32,16,0.0,169,0.197,23.5489,0.6915,-0.9233,0.238,64,128,89.49,121.03,60.19,0.2959,0.1224,0.0459,2,5888,0.0539,0.0,0.0,0.0,0.0,0.3987,0.4237,0.505,0.1364,0.3836,0.4386,0.5308,0.039
iccad3,NNHSCAD33591_8,FP,NHS,HS,False,1.0,0.0,results/xai/iccad3/iccad3_FP_NHS_predHS_NNHSCAD33591_8,results/xai/occlusion/iccad3/iccad3_FP_NHS_predHS_NNHSCAD33591_8,32,16,0.0,169,0.257,16.2675,5.8016,-1.2163,1.0251,96,96,106.67,106.66,39.47,0.0969,0.0459,0.0255,1,2304,0.0366,0.2813,0.3068,0.4379,0.0701,-0.0585,-0.0952,0.001,0.0,0.6959,0.4285,0.743,0.095
iccad3,NHSCAD31051_2,FP,NHS,HS,False,0.9998,0.0002,results/xai/iccad3/iccad3_FP_NHS_predHS_NHSCAD31051_2,results/xai/occlusion/iccad3/iccad3_FP_NHS_predHS_NHSCAD31051_2,32,16,0.0,169,0.187,8.6078,5.9056,-0.9461,0.7586,96,112,109.16,103.77,63.14,0.102,0.0459,0.0204,1,2304,0.1385,0.4986,0.4712,0.6345,0.1194,0.4943,0.4459,0.589,0.2276,0.6796,0.4581,0.764,0.1373
iccad3,NHSCAD31011_8,FP,NHS,HS,False,0.9999,0.0001,results/xai/iccad3/iccad3_FP_NHS_predHS_NHSCAD31011_8,results/xai/occlusion/iccad3/iccad3_FP_NHS_predHS_NHSCAD31011_8,32,16,0.0,169,0.251,9.203,5.6095,-0.8477,0.7717,96,96,105.51,109.55,60.86,0.102,0.0561,0.0204,1,2816,0.1349,0.4545,0.4377,0.6055,0.145,0.4579,0.4532,0.5168,0.1119,0.7123,0.4296,0.7871,0.1083
iccad3,HSCAD31075,FN,HS,NHS,False,0.0,1.0,results/xai/iccad3/iccad3_FN_HS_predNHS_HSCAD31075,results/xai/occlusion/iccad3/iccad3_FN_HS_predNHS_HSCAD31075,32,16,0.0,169,0.264,17.084,1.297,-1.1806,0.2322,64,128,95.96,117.75,58.84,0.1582,0.0969,0.0153,2,3584,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955,0.1021,0.4849,0.0436
iccad3,HSCAD3129,FN,HS,NHS,False,0.0,1.0,results/xai/iccad3/iccad3_FN_HS_predNHS_HSCAD3129,results/xai/occlusion/iccad3/iccad3_FN_HS_predNHS_HSCAD3129,32,16,0.0,169,0.215,19.6683,1.1836,-1.2465,0.3353,96,112,103.37,107.07,66.43,0.3163,0.0969,0.0306,2,4352,0.1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2151,0.3804,0.0014
iccad3,HSCAD31751,FN,HS,NHS,False,0.0,1.0,results/xai/iccad3/iccad3_FN_HS_predNHS_HSCAD31751,results/xai/occlusion/iccad3/iccad3_FN_HS_predNHS_HSCAD31751,32,16,0.0,169,0.219,21.4879,0.6445,-0.3166,0.0982,112,80,157.2,105.61,56.76,0.199,0.0765,0.0306,3,1792,0.2688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.0698,0.4074,0.0337
iccad4,HSCAD427,TP,HS,HS,True,1.0,0.0,results/xai/iccad4/iccad4_TP_HS_predHS_HSCAD427,results/xai/occlusion/iccad4/iccad4_TP_HS_predHS_HSCAD427,32,16,0.0,169,0.247,11.8586,4.8796,-0.3928,0.5771,96,112,123.7,98.87,70.15,0.0663,0.0306,0.0102,1,1536,0.1884,0.3992,0.3534,0.6385,0.0545,0.0,0.0,0.0,0.0,0.6142,0.4214,0.7043,0.109
iccad4,HSCAD4158,TP,HS,HS,True,1.0,0.0,results/xai/iccad4/iccad4_TP_HS_predHS_HSCAD4158,results/xai/occlusion/iccad4/iccad4_TP_HS_predHS_HSCAD4158,32,16,0.0,169,0.22,11.3137,2.769,-0.4275,0.6327,128,128,144.75,142.87,60.17,0.1684,0.0765,0.0306,2,2560,0.2041,0.5954,0.6522,0.6977,0.2982,0.5739,0.5067,0.6584,0.1378,0.6327,0.6246,0.7041,0.1185
iccad4,HSCAD497,TP,HS,HS,True,1.0,0.0,results/xai/iccad4/iccad4_TP_HS_predHS_HSCAD497,results/xai/occlusion/iccad4/iccad4_TP_HS_predHS_HSCAD497,32,16,0.0,169,0.232,11.2574,2.6,-0.7128,0.2684,80,112,113.26,97.29,61.48,0.0816,0.0306,0.0204,2,1024,0.1594,0.1153,0.0616,0.4412,0.0466,0.0941,0.1229,0.1191,0.0,0.6183,0.3758,0.6847,0.1113
iccad4,NNHSCAD4999_9,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_9,results/xai/occlusion/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_9,32,16,0.0,169,0.209,33.7083,1.2124,-0.7773,0.3666,96,64,109.68,103.62,51.93,0.1429,0.0357,0.0102,3,1024,0.0004,-0.182,-0.2785,0.1146,0.0,0.3908,0.2788,0.4357,0.1164,0.1954,0.3193,0.3279,0.0
iccad4,NNHSCAD4999_8,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_8,results/xai/occlusion/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_8,32,16,0.0,169,0.266,28.087,0.9725,-1.564,0.3105,96,64,105.2,120.76,63.33,0.2092,0.0561,0.0102,2,1536,0.0986,-0.1574,-0.2626,0.1393,0.0,0.0,0.0,0.0,0.0,0.1498,0.203,0.3286,0.0
iccad4,NNHSCAD4999_7,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_7,results/xai/occlusion/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_7,32,16,0.0,169,0.275,26.8589,0.9274,-0.8821,0.255,80,64,104.06,116.84,63.08,0.1531,0.0408,0.0102,2,1536,0.09,-0.1287,-0.2924,0.1031,0.0,0.0,0.0,0.0,0.0,0.1563,0.2008,0.3445,0.0
iccad4,NHSCAD418_6,FP,NHS,HS,False,0.9986,0.0014,results/xai/iccad4/iccad4_FP_NHS_predHS_NHSCAD418_6,results/xai/occlusion/iccad4/iccad4_FP_NHS_predHS_NHSCAD418_6,32,16,0.0,169,0.22,6.5529,1.5288,-0.3492,0.1443,192,176,163.12,165.19,75.16,0.0663,0.0357,0.0102,1,1792,0.4723,0.2455,0.1143,0.4513,0.0538,0.0,0.0,0.0,0.0,0.0885,0.0877,0.2533,0.0
iccad4,NHSCAD4147_4,FP,NHS,HS,False,0.9984,0.0016,results/xai/iccad4/iccad4_FP_NHS_predHS_NHSCAD4147_4,results/xai/occlusion/iccad4/iccad4_FP_NHS_predHS_NHSCAD4147_4,32,16,0.0,169,0.212,6.4656,1.6916,-0.5109,0.2581,128,96,114.31,107.88,72.54,0.0765,0.0357,0.0051,1,1792,0.1985,0.2363,0.3028,0.4599,0.032,0.0,0.0,0.0,0.0,0.5522,0.4923,0.644,0.1504
iccad4,NNHSCAD4602_8,FP,NHS,HS,False,0.9979,0.0021,results/xai/iccad4/iccad4_FP_NHS_predHS_NNHSCAD4602_8,results/xai/occlusion/iccad4/iccad4_FP_NHS_predHS_NNHSCAD4602_8,32,16,0.0,169,0.215,6.1493,1.8415,-0.3664,0.2853,96,112,144.78,148.3,66.24,0.0867,0.0357,0.0153,2,1280,0.2805,0.3625,0.4029,0.5063,0.1254,0.0,0.0,0.0,0.0,0.4002,0.3167,0.509,0.1042
iccad4,HSCAD498,FN,HS,NHS,False,0.0,1.0,results/xai/iccad4/iccad4_FN_HS_predNHS_HSCAD498,results/xai/occlusion/iccad4/iccad4_FN_HS_predNHS_HSCAD498,32,16,0.0,169,0.211,11.807,0.3712,-0.8321,0.1058,80,208,92.83,125.02,69.99,0.1582,0.0408,0.0153,3,1280,0.2237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0884,0.2629,0.0
iccad4,HSCAD444,FN,HS,NHS,False,0.0001,0.9999,results/xai/iccad4/iccad4_FN_HS_predNHS_HSCAD444,results/xai/occlusion/iccad4/iccad4_FN_HS_predNHS_HSCAD444,32,16,0.0,169,0.226,9.1758,0.1951,-0.4499,0.055,160,48,109.95,71.98,89.12,0.0918,0.0255,0.0153,3,512,0.3532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999,0.1427,0.364,0.0537
iccad4,HSCAD488,FN,HS,NHS,False,0.0002,0.9998,results/xai/iccad4/iccad4_FN_HS_predNHS_HSCAD488,results/xai/occlusion/iccad4/iccad4_FN_HS_predNHS_HSCAD488,32,16,0.0,169,0.234,8.3299,0.9648,-0.862,0.2894,112,112,103.68,119.17,51.92,0.2296,0.1122,0.0663,1,5632,0.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0831,-0.1381,0.2271,0.0049
iccad5,HSCAD50,TP,HS,HS,True,0.5825,0.4175,results/xai/iccad5/iccad5_TP_HS_predHS_HSCAD50,results/xai/occlusion/iccad5/iccad5_TP_HS_predHS_HSCAD50,32,16,0.0,169,0.255,0.333,0.0,0.0,0.0,0,0,112.0,112.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iccad5,HSCAD51,TP,HS,HS,True,0.5825,0.4175,results/xai/iccad5/iccad5_TP_HS_predHS_HSCAD51,results/xai/occlusion/iccad5/iccad5_TP_HS_predHS_HSCAD51,32,16,0.0,169,0.265,0.333,0.0,0.0,0.0,0,0,112.0,112.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iccad5,HSCAD510,TP,HS,HS,True,0.5825,0.4175,results/xai/iccad5/iccad5_TP_HS_predHS_HSCAD510,results/xai/occlusion/iccad5/iccad5_TP_HS_predHS_HSCAD510,32,16,0.0,169,0.254,0.333,0.0,0.0,0.0,0,0,112.0,112.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iccad5,NHSCAD510_1,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad5/iccad5_TN_NHS_predNHS_NHSCAD510_1,results/xai/occlusion/iccad5/iccad5_TN_NHS_predNHS_NHSCAD510_1,32,16,0.0,169,0.224,22.4554,1.2731,-0.3423,0.3057,48,192,100.68,109.8,83.16,0.2908,0.1122,0.0357,2,4096,0.2541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0922,0.0915,0.3663,0.0193
iccad5,NHSCAD51000,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad5/iccad5_TN_NHS_predNHS_NHSCAD51000,results/xai/occlusion/iccad5/iccad5_TN_NHS_predNHS_NHSCAD51000,32,16,0.0,169,0.229,20.2287,0.5063,-0.1822,0.0375,160,112,171.32,118.11,70.55,0.1122,0.0153,0.0051,1,768,0.3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2986,0.175,0.4145,0.0092
iccad5,NNHSCAD5999_9,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_9,results/xai/occlusion/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_9,32,16,0.0,169,0.213,21.4726,0.4996,-0.3669,0.0723,48,96,71.01,101.34,68.78,0.148,0.0867,0.0306,3,2816,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1238,0.0068,0.2832,0.0149
iccad5,NNHSCAD5994_4,FP,NHS,HS,False,0.5204,0.4796,results/xai/iccad5/iccad5_FP_NHS_predHS_NNHSCAD5994_4,results/xai/occlusion/iccad5/iccad5_FP_NHS_predHS_NNHSCAD5994_4,32,16,0.0,169,0.215,0.0816,0.375,-0.2266,0.0718,112,176,120.86,108.29,85.48,0.0918,0.0459,0.0255,2,1280,0.3388,0.4027,0.3133,0.5391,0.1017,0.0,0.0,0.0,0.0,0.3468,0.2547,0.4698,0.032
iccad5,NHSCAD50_8,FP,NHS,HS,False,0.5825,0.4175,results/xai/iccad5/iccad5_FP_NHS_predHS_NHSCAD50_8,results/xai/occlusion/iccad5/iccad5_FP_NHS_predHS_NHSCAD50_8,32,16,0.0,169,0.219,0.333,0.0,0.0,0.0,0,0,112.0,112.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
