benchmark,sample_id,actual_label,predicted_label,prediction_probability,p_hs,p_nhs,prediction_correct,case_type,target_class,target_layer,original_path,heatmap_path,overlay_path,comparison_path,total_activation,mean_activation,peak_activation,top10_threshold,top10_activation_fraction,centroid_x,centroid_y,spatial_spread,activated_area_fraction_gt05
iccad2,HSCAD2115,HS,HS,0.9917,0.9917,0.0083,True,TP,HS,conv2d_5,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2115_original.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2115_heatmap.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2115_overlay.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2115_comparison.png,22155.7695,0.4416,1.0,0.7029,0.1766,106.82,112.88,84.75,0.3402
iccad2,HSCAD291,HS,HS,0.9922,0.9922,0.0078,True,TP,HS,conv2d_5,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD291_original.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD291_heatmap.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD291_overlay.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD291_comparison.png,26509.9414,0.5283,1.0,0.7869,0.1587,102.73,113.22,86.83,0.5032
iccad2,HSCAD2250,HS,HS,0.9889,0.9889,0.0111,True,TP,HS,conv2d_5,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2250_original.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2250_heatmap.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2250_overlay.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2250_comparison.png,25518.6699,0.5086,1.0,0.7789,0.1668,109.92,101.09,82.36,0.5657
iccad2,NNHSCAD2998_7,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD2998_7_original.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD2998_7_heatmap.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD2998_7_overlay.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD2998_7_comparison.png,3969.4395,0.0791,1.0,0.2486,0.7496,110.25,177.25,63.45,0.062
iccad2,NHSCAD20_9,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_9_original.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_9_heatmap.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_9_overlay.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_9_comparison.png,2355.9697,0.047,1.0,0.0733,0.96,77.85,128.04,44.71,0.0427
iccad2,NHSCAD20_8,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_8_original.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_8_heatmap.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_8_overlay.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNHSCAD20_8_comparison.png,1344.3958,0.0268,1.0,0.044,0.8929,102.29,122.59,82.92,0.0161
iccad2,NNHSCAD21121_1,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD21121_1_original.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD21121_1_heatmap.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD21121_1_overlay.png,results/gradcam/iccad2/iccad2_TN_NHS_predNHS_sampleNNHSCAD21121_1_comparison.png,3260.9587,0.065,1.0,0.2497,0.9435,112.0,186.16,64.12,0.0656
iccad2,NNHSCAD21848_7,NHS,HS,0.9921,0.9921,0.0079,False,FP,HS,conv2d_5,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD21848_7_original.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD21848_7_heatmap.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD21848_7_overlay.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD21848_7_comparison.png,27981.0254,0.5577,1.0,0.8368,0.1584,106.77,114.25,86.58,0.5435
iccad2,NNHSCAD24019_9,NHS,HS,0.9917,0.9917,0.0083,False,FP,HS,conv2d_5,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD24019_9_original.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD24019_9_heatmap.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD24019_9_overlay.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNNHSCAD24019_9_comparison.png,19343.6562,0.3855,1.0,0.5938,0.1757,109.93,96.69,87.87,0.2572
iccad2,NHSCAD2220_6,NHS,HS,0.9896,0.9896,0.0104,False,FP,HS,conv2d_5,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2220_6_original.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2220_6_heatmap.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2220_6_overlay.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2220_6_comparison.png,27091.3613,0.5399,1.0,0.8533,0.1696,109.91,118.43,87.63,0.5242
iccad2,NHSCAD2305_6,NHS,HS,0.9895,0.9895,0.0105,False,FP,HS,conv2d_5,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2305_6_original.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2305_6_heatmap.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2305_6_overlay.png,results/gradcam/iccad2/iccad2_FP_NHS_predHS_sampleNHSCAD2305_6_comparison.png,27535.4805,0.5488,1.0,0.8418,0.1662,110.27,111.13,89.05,0.5052
iccad2,HSCAD2494,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2494_original.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2494_heatmap.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2494_overlay.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2494_comparison.png,231.208,0.0046,1.0,0.0,1.0,21.9,96.57,8.62,0.0029
iccad2,HSCAD2493,HS,NHS,0.9997,0.0003,0.9997,False,FN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2493_original.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2493_heatmap.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2493_overlay.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2493_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad2,HSCAD20,HS,NHS,0.9997,0.0003,0.9997,False,FN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD20_original.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD20_heatmap.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD20_overlay.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD20_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad2,HSCAD2283,HS,NHS,0.7424,0.2576,0.7424,False,FN,NHS,conv2d_5,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2283_original.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2283_heatmap.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2283_overlay.png,results/gradcam/iccad2/iccad2_FN_HS_predNHS_sampleHSCAD2283_comparison.png,1381.048,0.0275,1.0,0.0211,0.9945,52.61,125.4,83.81,0.0173
iccad3,HSCAD37,HS,HS,1.0,1.0,0.0,True,TP,HS,conv2d_5,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD37_original.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD37_heatmap.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD37_overlay.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD37_comparison.png,7093.8535,0.1414,1.0,0.3672,0.3286,144.19,108.33,88.78,0.0271
iccad3,HSCAD3991,HS,HS,1.0,1.0,0.0,True,TP,HS,conv2d_5,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD3991_original.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD3991_heatmap.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD3991_overlay.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD3991_comparison.png,3856.3462,0.0769,1.0,0.314,0.6609,144.96,81.81,100.62,0.0503
iccad3,HSCAD31679,HS,HS,1.0,1.0,0.0,True,TP,HS,conv2d_5,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31679_original.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31679_heatmap.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31679_overlay.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31679_comparison.png,1880.0677,0.0375,1.0,0.1128,0.647,140.28,78.42,94.8,0.0073
iccad3,HSCAD31493,HS,HS,1.0,1.0,0.0,True,TP,HS,conv2d_5,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31493_original.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31493_heatmap.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31493_overlay.png,results/gradcam/iccad3/iccad3_TP_HS_predHS_sampleHSCAD31493_comparison.png,3537.7053,0.0705,1.0,0.2182,0.7419,181.01,115.94,75.86,0.0495
iccad3,NHSCAD3100_1,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNHSCAD3100_1_original.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNHSCAD3100_1_heatmap.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNHSCAD3100_1_overlay.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNHSCAD3100_1_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad3,NNHSCAD35348_9,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35348_9_original.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35348_9_heatmap.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35348_9_overlay.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35348_9_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad3,NNHSCAD33501_8,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD33501_8_original.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD33501_8_heatmap.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD33501_8_overlay.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD33501_8_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad3,NNHSCAD35347_4,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35347_4_original.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35347_4_heatmap.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35347_4_overlay.png,results/gradcam/iccad3/iccad3_TN_NHS_predNHS_sampleNNHSCAD35347_4_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad3,NHSCAD3284_8,NHS,HS,1.0,1.0,0.0,False,FP,HS,conv2d_5,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3284_8_original.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3284_8_heatmap.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3284_8_overlay.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3284_8_comparison.png,3409.3018,0.0679,1.0,0.2193,0.6804,162.67,98.73,89.48,0.0387
iccad3,NHSCAD31326_8,NHS,HS,1.0,1.0,0.0,False,FP,HS,conv2d_5,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31326_8_original.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31326_8_heatmap.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31326_8_overlay.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31326_8_comparison.png,3086.731,0.0615,1.0,0.2249,0.6523,156.39,99.04,85.28,0.0228
iccad3,NHSCAD31800_8,NHS,HS,1.0,1.0,0.0,False,FP,HS,conv2d_5,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31800_8_original.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31800_8_heatmap.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31800_8_overlay.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD31800_8_comparison.png,19490.3086,0.3884,1.0,0.6786,0.1964,99.7,109.8,93.86,0.3415
iccad3,NHSCAD3882_8,NHS,HS,1.0,1.0,0.0,False,FP,HS,conv2d_5,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3882_8_original.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3882_8_heatmap.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3882_8_overlay.png,results/gradcam/iccad3/iccad3_FP_NHS_predHS_sampleNHSCAD3882_8_comparison.png,1798.6589,0.0358,1.0,0.1132,0.9016,192.93,88.62,67.31,0.0154
iccad3,HSCAD31154,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31154_original.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31154_heatmap.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31154_overlay.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31154_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad3,HSCAD31784,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31784_original.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31784_heatmap.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31784_overlay.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31784_comparison.png,358.5752,0.0071,1.0,0.0,1.0,21.9,195.54,11.24,0.0047
iccad3,HSCAD31751,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31751_original.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31751_heatmap.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31751_overlay.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31751_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad3,HSCAD31566,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31566_original.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31566_heatmap.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31566_overlay.png,results/gradcam/iccad3/iccad3_FN_HS_predNHS_sampleHSCAD31566_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,HSCAD420,HS,HS,0.9978,0.9978,0.0022,True,TP,HS,conv2d_5,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD420_original.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD420_heatmap.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD420_overlay.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD420_comparison.png,22372.7949,0.4459,1.0,0.7046,0.1758,114.25,110.22,86.88,0.3351
iccad4,HSCAD497,HS,HS,0.9899,0.9899,0.0101,True,TP,HS,conv2d_5,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD497_original.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD497_heatmap.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD497_overlay.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD497_comparison.png,22746.3789,0.4533,1.0,0.7545,0.1865,113.73,100.93,83.39,0.3513
iccad4,HSCAD495,HS,HS,0.993,0.993,0.007,True,TP,HS,conv2d_5,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD495_original.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD495_heatmap.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD495_overlay.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD495_comparison.png,20176.4043,0.4021,1.0,0.6617,0.191,103.37,106.44,90.37,0.2409
