benchmark,sample_id,case_type,actual_label,predicted_label,method,level_pct,is_degenerate_map,mask_area_px,target_area_px,control_area_px,control_n_draws,n_components,largest_component_area_frac,n_junction_seeds,n_corner_seeds,geometry_fraction,narrow_gap_fraction,thin_line_fraction,boundary_proximity_mean,junction_recall,junction_density_per_kpx,corner_recall,corner_density_per_kpx,local_density_mean,control_geometry_fraction_mean,control_geometry_fraction_std,control_geometry_fraction_min,control_geometry_fraction_max,control_narrow_gap_fraction_mean,control_narrow_gap_fraction_std,control_narrow_gap_fraction_min,control_narrow_gap_fraction_max,control_thin_line_fraction_mean,control_thin_line_fraction_std,control_thin_line_fraction_min,control_thin_line_fraction_max,control_boundary_proximity_mean_mean,control_boundary_proximity_mean_std,control_boundary_proximity_mean_min,control_boundary_proximity_mean_max,control_junction_recall_mean,control_junction_recall_std,control_junction_recall_min,control_junction_recall_max,control_junction_density_per_kpx_mean,control_junction_density_per_kpx_std,control_junction_density_per_kpx_min,control_junction_density_per_kpx_max,control_corner_recall_mean,control_corner_recall_std,control_corner_recall_min,control_corner_recall_max,control_corner_density_per_kpx_mean,control_corner_density_per_kpx_std,control_corner_density_per_kpx_min,control_corner_density_per_kpx_max,control_local_density_mean_mean,control_local_density_mean_std,control_local_density_mean_min,control_local_density_mean_max
iccad5,HSCAD537,TP,HS,HS,layercam,30,False,15053,15053,15360,30,7,0.0418,4,47,0.4495,0.2854,0.1002,2.695,0.9583,1.528,0.6563,26.639,0.3917,0.229,0.0364,0.1615,0.3142,0.1686,0.0263,0.1243,0.2329,0.0555,0.0086,0.0392,0.0751,9.4839,1.986,4.949,12.574,0.2375,0.3085,0.0,1.0,0.3711,0.482,0.0,1.562,0.3195,0.0838,0.1424,0.5188,12.7104,3.3314,5.664,20.638,0.2264,0.0351,0.1625,0.3118
iccad5,HSCAD537,TP,HS,HS,occlusion,30,False,15053,15053,15360,30,7,0.0418,4,47,0.3738,0.2914,0.0975,3.265,0.375,0.598,0.6187,25.111,0.3813,0.229,0.0364,0.1615,0.3142,0.1686,0.0263,0.1243,0.2329,0.0555,0.0086,0.0392,0.0751,9.4839,1.986,4.949,12.574,0.2375,0.3085,0.0,1.0,0.3711,0.482,0.0,1.562,0.3195,0.0838,0.1424,0.5188,12.7104,3.3314,5.664,20.638,0.2264,0.0351,0.1625,0.3118
iccad5,HSCAD532,TP,HS,HS,gradcam,10,False,5018,5018,5120,30,8,0.0423,0,52,0.4504,0.3665,0.1016,1.794,0.0,0.0,0.2426,32.682,0.443,0.2147,0.0745,0.0779,0.3637,0.1614,0.0471,0.052,0.2605,0.0519,0.017,0.018,0.085,9.1914,3.1115,3.907,18.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1112,0.0599,0.0089,0.2189,14.6874,7.9065,1.172,28.906,0.217,0.0679,0.0853,0.3611
iccad5,HSCAD532,TP,HS,HS,gradcam_plus,10,False,5018,5018,5120,30,8,0.0423,0,52,0.4878,0.277,0.1108,2.595,0.0,0.0,0.3151,42.447,0.3691,0.2147,0.0745,0.0779,0.3637,0.1614,0.0471,0.052,0.2605,0.0519,0.017,0.018,0.085,9.1914,3.1115,3.907,18.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1112,0.0599,0.0089,0.2189,14.6874,7.9065,1.172,28.906,0.217,0.0679,0.0853,0.3611
iccad5,HSCAD532,TP,HS,HS,layercam,10,False,5018,5018,5120,30,8,0.0423,0,52,0.4841,0.2848,0.1024,2.473,0.0,0.0,0.1302,17.537,0.4354,0.2147,0.0745,0.0779,0.3637,0.1614,0.0471,0.052,0.2605,0.0519,0.017,0.018,0.085,9.1914,3.1115,3.907,18.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1112,0.0599,0.0089,0.2189,14.6874,7.9065,1.172,28.906,0.217,0.0679,0.0853,0.3611
iccad5,HSCAD532,TP,HS,HS,occlusion,10,False,5018,5018,5120,30,8,0.0423,0,52,0.5628,0.3489,0.1263,1.583,0.0,0.0,0.1716,23.117,0.4852,0.2147,0.0745,0.0779,0.3637,0.1614,0.0471,0.052,0.2605,0.0519,0.017,0.018,0.085,9.1914,3.1115,3.907,18.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1112,0.0599,0.0089,0.2189,14.6874,7.9065,1.172,28.906,0.217,0.0679,0.0853,0.3611
iccad5,HSCAD532,TP,HS,HS,gradcam,20,False,10035,10035,10240,30,8,0.0423,0,52,0.4591,0.3379,0.1108,1.911,0.0,0.0,0.5281,35.575,0.4204,0.2236,0.0654,0.0946,0.3736,0.1671,0.0364,0.0862,0.2406,0.0532,0.0152,0.0226,0.0867,8.8374,2.0762,5.733,12.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1954,0.0712,0.0444,0.3772,12.9003,4.7003,2.93,24.902,0.2246,0.0488,0.1235,0.3196
iccad5,HSCAD532,TP,HS,HS,gradcam_plus,20,False,10035,10035,10240,30,8,0.0423,0,52,0.4309,0.2772,0.0958,3.031,0.0,0.0,0.5725,38.565,0.3503,0.2236,0.0654,0.0946,0.3736,0.1671,0.0364,0.0862,0.2406,0.0532,0.0152,0.0226,0.0867,8.8374,2.0762,5.733,12.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1954,0.0712,0.0444,0.3772,12.9003,4.7003,2.93,24.902,0.2246,0.0488,0.1235,0.3196
iccad5,HSCAD532,TP,HS,HS,layercam,20,False,10035,10035,10240,30,8,0.0423,0,52,0.4409,0.2876,0.0979,2.721,0.0,0.0,0.3225,21.724,0.4042,0.2236,0.0654,0.0946,0.3736,0.1671,0.0364,0.0862,0.2406,0.0532,0.0152,0.0226,0.0867,8.8374,2.0762,5.733,12.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1954,0.0712,0.0444,0.3772,12.9003,4.7003,2.93,24.902,0.2246,0.0488,0.1235,0.3196
iccad5,HSCAD532,TP,HS,HS,occlusion,20,False,10035,10035,10240,30,8,0.0423,0,52,0.4516,0.2873,0.1044,2.882,0.0,0.0,0.3698,24.913,0.4084,0.2236,0.0654,0.0946,0.3736,0.1671,0.0364,0.0862,0.2406,0.0532,0.0152,0.0226,0.0867,8.8374,2.0762,5.733,12.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1954,0.0712,0.0444,0.3772,12.9003,4.7003,2.93,24.902,0.2246,0.0488,0.1235,0.3196
iccad5,HSCAD532,TP,HS,HS,gradcam,30,False,15053,15053,15360,30,8,0.0423,0,52,0.4546,0.2987,0.0992,2.255,0.0,0.0,0.716,32.153,0.4051,0.23,0.0584,0.1106,0.3298,0.1663,0.0295,0.1111,0.2291,0.0545,0.0134,0.0267,0.0787,8.6047,1.9154,5.087,12.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0914,0.1198,0.4941,12.8493,4.0232,5.273,21.745,0.2288,0.0408,0.156,0.3021
iccad5,HSCAD532,TP,HS,HS,gradcam_plus,30,False,15053,15053,15360,30,8,0.0423,0,52,0.3969,0.284,0.0901,3.134,0.0,0.0,0.8018,36.006,0.3524,0.23,0.0584,0.1106,0.3298,0.1663,0.0295,0.1111,0.2291,0.0545,0.0134,0.0267,0.0787,8.6047,1.9154,5.087,12.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0914,0.1198,0.4941,12.8493,4.0232,5.273,21.745,0.2288,0.0408,0.156,0.3021
iccad5,HSCAD532,TP,HS,HS,layercam,30,False,15053,15053,15360,30,8,0.0423,0,52,0.4075,0.2712,0.0925,3.072,0.0,0.0,0.4926,22.122,0.3749,0.23,0.0584,0.1106,0.3298,0.1663,0.0295,0.1111,0.2291,0.0545,0.0134,0.0267,0.0787,8.6047,1.9154,5.087,12.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0914,0.1198,0.4941,12.8493,4.0232,5.273,21.745,0.2288,0.0408,0.156,0.3021
iccad5,HSCAD532,TP,HS,HS,occlusion,30,False,15053,15053,15360,30,8,0.0423,0,52,0.4397,0.2838,0.1029,2.902,0.0,0.0,0.4527,20.328,0.3881,0.23,0.0584,0.1106,0.3298,0.1663,0.0295,0.1111,0.2291,0.0545,0.0134,0.0267,0.0787,8.6047,1.9154,5.087,12.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0914,0.1198,0.4941,12.8493,4.0232,5.273,21.745,0.2288,0.0408,0.156,0.3021
iccad5,HSCAD530,TP,HS,HS,gradcam,10,False,5018,5018,5120,30,7,0.0377,8,41,0.394,0.5413,0.1022,1.973,0.3333,3.189,0.3734,39.657,0.4183,0.1935,0.0789,0.0563,0.3543,0.2066,0.0629,0.0625,0.3334,0.0429,0.0152,0.0125,0.0793,15.8138,7.1036,4.238,29.913,0.1167,0.2115,0.0,0.5,1.0939,1.9828,0.0,4.688,0.0996,0.0548,0.0,0.1989,10.371,5.7097,0.0,20.703,0.1941,0.0694,0.0692,0.3168
iccad5,HSCAD530,TP,HS,HS,gradcam_plus,10,False,5018,5018,5120,30,7,0.0377,8,41,0.4745,0.388,0.107,2.565,0.5,4.783,0.3696,39.259,0.3372,0.1935,0.0789,0.0563,0.3543,0.2066,0.0629,0.0625,0.3334,0.0429,0.0152,0.0125,0.0793,15.8138,7.1036,4.238,29.913,0.1167,0.2115,0.0,0.5,1.0939,1.9828,0.0,4.688,0.0996,0.0548,0.0,0.1989,10.371,5.7097,0.0,20.703,0.1941,0.0694,0.0692,0.3168
iccad5,HSCAD530,TP,HS,HS,layercam,10,False,5018,5018,5120,30,7,0.0377,8,41,0.449,0.3946,0.1046,2.718,0.0,0.0,0.3077,32.682,0.3467,0.1935,0.0789,0.0563,0.3543,0.2066,0.0629,0.0625,0.3334,0.0429,0.0152,0.0125,0.0793,15.8138,7.1036,4.238,29.913,0.1167,0.2115,0.0,0.5,1.0939,1.9828,0.0,4.688,0.0996,0.0548,0.0,0.1989,10.371,5.7097,0.0,20.703,0.1941,0.0694,0.0692,0.3168
iccad5,HSCAD530,TP,HS,HS,occlusion,10,False,5018,5018,5120,30,7,0.0377,8,41,0.505,0.4378,0.1166,2.009,0.0,0.0,0.3021,32.084,0.3834,0.1935,0.0789,0.0563,0.3543,0.2066,0.0629,0.0625,0.3334,0.0429,0.0152,0.0125,0.0793,15.8138,7.1036,4.238,29.913,0.1167,0.2115,0.0,0.5,1.0939,1.9828,0.0,4.688,0.0996,0.0548,0.0,0.1989,10.371,5.7097,0.0,20.703,0.1941,0.0694,0.0692,0.3168
iccad5,HSCAD530,TP,HS,HS,gradcam,20,False,10035,10035,10240,30,7,0.0377,8,41,0.4471,0.4413,0.1001,2.292,0.5,2.392,0.7355,39.063,0.3899,0.1522,0.0507,0.0436,0.2504,0.1722,0.0451,0.0744,0.2647,0.0346,0.0105,0.0114,0.0569,19.7697,5.7319,10.476,32.329,0.1833,0.2734,0.0,1.0,0.8595,1.2815,0.0,4.688,0.1811,0.0538,0.0976,0.2927,9.427,2.8001,5.078,15.234,0.1538,0.0463,0.0588,0.2512
iccad5,HSCAD530,TP,HS,HS,gradcam_plus,20,False,10035,10035,10240,30,7,0.0377,8,41,0.3952,0.414,0.0804,3.127,0.5625,2.691,0.6773,35.974,0.335,0.1522,0.0507,0.0436,0.2504,0.1722,0.0451,0.0744,0.2647,0.0346,0.0105,0.0114,0.0569,19.7697,5.7319,10.476,32.329,0.1833,0.2734,0.0,1.0,0.8595,1.2815,0.0,4.688,0.1811,0.0538,0.0976,0.2927,9.427,2.8001,5.078,15.234,0.1538,0.0463,0.0588,0.2512
iccad5,HSCAD530,TP,HS,HS,layercam,20,False,10035,10035,10240,30,7,0.0377,8,41,0.3987,0.3945,0.0907,3.101,0.0,0.0,0.5122,27.205,0.3377,0.1522,0.0507,0.0436,0.2504,0.1722,0.0451,0.0744,0.2647,0.0346,0.0105,0.0114,0.0569,19.7697,5.7319,10.476,32.329,0.1833,0.2734,0.0,1.0,0.8595,1.2815,0.0,4.688,0.1811,0.0538,0.0976,0.2927,9.427,2.8001,5.078,15.234,0.1538,0.0463,0.0588,0.2512
iccad5,HSCAD530,TP,HS,HS,occlusion,20,False,10035,10035,10240,30,7,0.0377,8,41,0.4262,0.4203,0.1012,2.687,0.0,0.0,0.6623,35.177,0.3544,0.1522,0.0507,0.0436,0.2504,0.1722,0.0451,0.0744,0.2647,0.0346,0.0105,0.0114,0.0569,19.7697,5.7319,10.476,32.329,0.1833,0.2734,0.0,1.0,0.8595,1.2815,0.0,4.688,0.1811,0.0538,0.0976,0.2927,9.427,2.8001,5.078,15.234,0.1538,0.0463,0.0588,0.2512
iccad5,HSCAD530,TP,HS,HS,gradcam,30,False,15053,15053,15360,30,7,0.0377,8,41,0.4299,0.394,0.0943,2.714,0.875,2.79,0.9231,32.685,0.3474,0.1499,0.0389,0.0685,0.2379,0.1709,0.0373,0.087,0.2564,0.0343,0.0083,0.0166,0.0505,21.1637,4.6729,10.001,30.343,0.3333,0.3249,0.0,1.0,1.0414,1.0152,0.0,3.125,0.2927,0.0856,0.1463,0.4653,10.1562,2.9706,5.078,16.146,0.1501,0.0356,0.0748,0.2213
iccad5,HSCAD530,TP,HS,HS,gradcam_plus,30,False,15053,15053,15360,30,7,0.0377,8,41,0.368,0.4182,0.0864,3.26,0.8958,2.857,0.8593,30.426,0.3297,0.1499,0.0389,0.0685,0.2379,0.1709,0.0373,0.087,0.2564,0.0343,0.0083,0.0166,0.0505,21.1637,4.6729,10.001,30.343,0.3333,0.3249,0.0,1.0,1.0414,1.0152,0.0,3.125,0.2927,0.0856,0.1463,0.4653,10.1562,2.9706,5.078,16.146,0.1501,0.0356,0.0748,0.2213
iccad5,HSCAD530,TP,HS,HS,layercam,30,False,15053,15053,15360,30,7,0.0377,8,41,0.353,0.3702,0.077,3.749,0.5208,1.661,0.666,23.583,0.3157,0.1499,0.0389,0.0685,0.2379,0.1709,0.0373,0.087,0.2564,0.0343,0.0083,0.0166,0.0505,21.1637,4.6729,10.001,30.343,0.3333,0.3249,0.0,1.0,1.0414,1.0152,0.0,3.125,0.2927,0.0856,0.1463,0.4653,10.1562,2.9706,5.078,16.146,0.1501,0.0356,0.0748,0.2213
iccad5,HSCAD530,TP,HS,HS,occlusion,30,False,15053,15053,15360,30,7,0.0377,8,41,0.31,0.3557,0.0735,4.318,0.0,0.0,0.6979,24.713,0.3064,0.1499,0.0389,0.0685,0.2379,0.1709,0.0373,0.087,0.2564,0.0343,0.0083,0.0166,0.0505,21.1637,4.6729,10.001,30.343,0.3333,0.3249,0.0,1.0,1.0414,1.0152,0.0,3.125,0.2927,0.0856,0.1463,0.4653,10.1562,2.9706,5.078,16.146,0.1501,0.0356,0.0748,0.2213
iccad5,NHSCAD51003,TN,NHS,NHS,gradcam,10,False,5018,5018,5120,30,13,0.0405,4,60,0.2874,0.123,0.0616,5.69,0.0,0.0,0.0026,0.399,0.2738,0.2725,0.0551,0.1688,0.3736,0.1415,0.0241,0.0953,0.1928,0.0681,0.0124,0.0463,0.0941,5.2604,1.1611,3.355,7.802,0.1014,0.286,0.0,0.9583,0.4752,1.3405,0.0,4.492,0.1019,0.045,0.0167,0.2103,15.5273,6.8486,2.539,32.031,0.274,0.0553,0.1824,0.3766
iccad5,NHSCAD51003,TN,NHS,NHS,gradcam_plus,10,False,5018,5018,5120,30,13,0.0405,4,60,0.1325,0.1048,0.0391,6.862,0.0833,0.399,0.1346,20.925,0.1507,0.2725,0.0551,0.1688,0.3736,0.1415,0.0241,0.0953,0.1928,0.0681,0.0124,0.0463,0.0941,5.2604,1.1611,3.355,7.802,0.1014,0.286,0.0,0.9583,0.4752,1.3405,0.0,4.492,0.1019,0.045,0.0167,0.2103,15.5273,6.8486,2.539,32.031,0.274,0.0553,0.1824,0.3766
iccad5,NHSCAD51003,TN,NHS,NHS,layercam,10,False,5018,5018,5120,30,13,0.0405,4,60,0.3386,0.1455,0.0739,3.781,0.2917,1.395,0.1654,25.707,0.2698,0.2725,0.0551,0.1688,0.3736,0.1415,0.0241,0.0953,0.1928,0.0681,0.0124,0.0463,0.0941,5.2604,1.1611,3.355,7.802,0.1014,0.286,0.0,0.9583,0.4752,1.3405,0.0,4.492,0.1019,0.045,0.0167,0.2103,15.5273,6.8486,2.539,32.031,0.274,0.0553,0.1824,0.3766
iccad5,NHSCAD51003,TN,NHS,NHS,occlusion,10,False,5018,5018,5120,30,13,0.0405,4,60,0.496,0.2104,0.098,2.108,0.0,0.0,0.0346,5.381,0.47,0.2725,0.0551,0.1688,0.3736,0.1415,0.0241,0.0953,0.1928,0.0681,0.0124,0.0463,0.0941,5.2604,1.1611,3.355,7.802,0.1014,0.286,0.0,0.9583,0.4752,1.3405,0.0,4.492,0.1019,0.045,0.0167,0.2103,15.5273,6.8486,2.539,32.031,0.274,0.0553,0.1824,0.3766
iccad5,NHSCAD51003,TN,NHS,NHS,gradcam,20,False,10035,10035,10240,30,13,0.0405,4,60,0.3115,0.1432,0.0715,4.938,0.0,0.0,0.0705,5.481,0.305,0.2684,0.0328,0.1936,0.3438,0.141,0.0136,0.1106,0.1791,0.0674,0.0073,0.0542,0.0869,5.4424,0.7867,4.303,7.488,0.2014,0.3823,0.0,1.0,0.4721,0.8961,0.0,2.344,0.1944,0.0648,0.0667,0.3295,14.8112,4.9354,5.078,25.098,0.2685,0.0304,0.1982,0.3553
iccad5,NHSCAD51003,TN,NHS,NHS,gradcam_plus,20,False,10035,10035,10240,30,13,0.0405,4,60,0.1471,0.1161,0.043,6.506,0.3333,0.797,0.2744,21.325,0.1667,0.2684,0.0328,0.1936,0.3438,0.141,0.0136,0.1106,0.1791,0.0674,0.0073,0.0542,0.0869,5.4424,0.7867,4.303,7.488,0.2014,0.3823,0.0,1.0,0.4721,0.8961,0.0,2.344,0.1944,0.0648,0.0667,0.3295,14.8112,4.9354,5.078,25.098,0.2685,0.0304,0.1982,0.3553
iccad5,NHSCAD51003,TN,NHS,NHS,layercam,20,False,10035,10035,10240,30,13,0.0405,4,60,0.3465,0.1527,0.0774,3.729,0.5833,1.395,0.3282,25.511,0.2782,0.2684,0.0328,0.1936,0.3438,0.141,0.0136,0.1106,0.1791,0.0674,0.0073,0.0542,0.0869,5.4424,0.7867,4.303,7.488,0.2014,0.3823,0.0,1.0,0.4721,0.8961,0.0,2.344,0.1944,0.0648,0.0667,0.3295,14.8112,4.9354,5.078,25.098,0.2685,0.0304,0.1982,0.3553
iccad5,NHSCAD51003,TN,NHS,NHS,occlusion,20,False,10035,10035,10240,30,13,0.0405,4,60,0.443,0.1989,0.0927,2.829,0.0,0.0,0.1462,11.36,0.402,0.2684,0.0328,0.1936,0.3438,0.141,0.0136,0.1106,0.1791,0.0674,0.0073,0.0542,0.0869,5.4424,0.7867,4.303,7.488,0.2014,0.3823,0.0,1.0,0.4721,0.8961,0.0,2.344,0.1944,0.0648,0.0667,0.3295,14.8112,4.9354,5.078,25.098,0.2685,0.0304,0.1982,0.3553
iccad5,NHSCAD51003,TN,NHS,NHS,gradcam,30,False,15053,15053,15360,30,13,0.0405,4,60,0.3072,0.15,0.0745,4.78,0.0,0.0,0.3897,20.195,0.2916,0.2815,0.0318,0.2014,0.3342,0.1469,0.0129,0.1259,0.1732,0.0704,0.0064,0.0589,0.084,5.1584,0.6343,3.842,6.418,0.2347,0.3996,0.0,0.9583,0.3666,0.6242,0.0,1.497,0.3091,0.0729,0.1833,0.4603,15.6966,3.7004,9.31,23.372,0.2817,0.0306,0.2127,0.3316
iccad5,NHSCAD51003,TN,NHS,NHS,gradcam_plus,30,False,15053,15053,15360,30,13,0.0405,4,60,0.1779,0.1121,0.0505,6.296,0.5833,0.93,0.5051,26.174,0.1789,0.2815,0.0318,0.2014,0.3342,0.1469,0.0129,0.1259,0.1732,0.0704,0.0064,0.0589,0.084,5.1584,0.6343,3.842,6.418,0.2347,0.3996,0.0,0.9583,0.3666,0.6242,0.0,1.497,0.3091,0.0729,0.1833,0.4603,15.6966,3.7004,9.31,23.372,0.2817,0.0306,0.2127,0.3316
iccad5,NHSCAD51003,TN,NHS,NHS,layercam,30,False,15053,15053,15360,30,13,0.0405,4,60,0.3365,0.1568,0.0755,3.812,0.75,1.196,0.4897,25.377,0.2804,0.2815,0.0318,0.2014,0.3342,0.1469,0.0129,0.1259,0.1732,0.0704,0.0064,0.0589,0.084,5.1584,0.6343,3.842,6.418,0.2347,0.3996,0.0,0.9583,0.3666,0.6242,0.0,1.497,0.3091,0.0729,0.1833,0.4603,15.6966,3.7004,9.31,23.372,0.2817,0.0306,0.2127,0.3316
iccad5,NHSCAD51003,TN,NHS,NHS,occlusion,30,False,15053,15053,15360,30,13,0.0405,4,60,0.3963,0.1843,0.0869,3.239,0.0417,0.066,0.2538,13.154,0.3772,0.2815,0.0318,0.2014,0.3342,0.1469,0.0129,0.1259,0.1732,0.0704,0.0064,0.0589,0.084,5.1584,0.6343,3.842,6.418,0.2347,0.3996,0.0,0.9583,0.3666,0.6242,0.0,1.497,0.3091,0.0729,0.1833,0.4603,15.6966,3.7004,9.31,23.372,0.2817,0.0306,0.2127,0.3316
