benchmark,sample_id,case_type,actual_label,predicted_label,is_correct,p_hs,p_nhs,sample_dir,gcam_peak_x,gcam_peak_y,gcam_centroid_x,gcam_centroid_y,gcam_spread,gcam_area_gt50,gcam_connected_count,gcam_edge_conc,gcam_pp_peak_x,gcam_pp_peak_y,gcam_pp_centroid_x,gcam_pp_centroid_y,gcam_pp_spread,gcam_pp_area_gt50,gcam_pp_connected_count,gcam_pp_edge_conc,layercam_peak_x,layercam_peak_y,layercam_centroid_x,layercam_centroid_y,layercam_spread,layercam_area_gt50,layercam_connected_count,layercam_edge_conc
iccad3,NNHSCAD35348_8,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad3/iccad3_TN_NHS_predNHS_NNHSCAD35348_8,0,0,112.0,112.0,0.0,0.0,0,0.0,59,36,91.58,112.67,68.36,0.0263,2,0.0311,67,163,111.98,122.75,77.17,0.014,18,0.1704
iccad3,NNHSCAD33591_8,FP,NHS,HS,False,1.0,0.0,results/xai/iccad3/iccad3_FP_NHS_predHS_NNHSCAD33591_8,187,67,120.99,112.26,81.91,0.6553,1,0.2156,35,115,35.5,77.67,26.52,0.0138,1,0.0,99,100,115.36,101.7,61.91,0.0051,4,0.0714
iccad3,NHSCAD31051_2,FP,NHS,HS,False,0.9998,0.0002,results/xai/iccad3/iccad3_FP_NHS_predHS_NHSCAD31051_2,100,203,115.35,113.02,83.85,0.3487,6,0.2553,115,28,105.21,115.03,56.1,0.055,3,0.0265,83,124,112.94,108.68,67.46,0.0104,9,0.1228
iccad3,NHSCAD31011_8,FP,NHS,HS,False,0.9999,0.0001,results/xai/iccad3/iccad3_FP_NHS_predHS_NHSCAD31011_8,179,147,110.02,119.97,83.46,0.3544,2,0.2555,115,28,106.72,95.51,47.16,0.0199,2,0.0019,115,83,108.56,112.25,65.97,0.0075,10,0.1162
iccad3,HSCAD31075,FN,HS,NHS,False,0.0,1.0,results/xai/iccad3/iccad3_FN_HS_predNHS_HSCAD31075,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,67,163,131.44,128.0,75.38,0.011,18,0.1888
iccad3,HSCAD3129,FN,HS,NHS,False,0.0,1.0,results/xai/iccad3/iccad3_FN_HS_predNHS_HSCAD3129,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,195,51,108.69,115.58,91.38,0.0161,16,0.3304
iccad3,HSCAD31751,FN,HS,NHS,False,0.0,1.0,results/xai/iccad3/iccad3_FN_HS_predNHS_HSCAD31751,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,123,99,149.73,124.67,83.75,0.009,13,0.2977
iccad4,HSCAD427,TP,HS,HS,True,1.0,0.0,results/xai/iccad4/iccad4_TP_HS_predHS_HSCAD427,92,131,115.74,111.15,86.83,0.5558,1,0.2736,0,0,112.0,112.0,0.0,0.0,0,0.0,99,115,116.24,103.61,67.53,0.0034,3,0.1569
iccad4,HSCAD4158,TP,HS,HS,True,1.0,0.0,results/xai/iccad4/iccad4_TP_HS_predHS_HSCAD4158,147,123,115.79,133.94,76.1,0.2047,4,0.2094,132,131,122.45,124.11,64.9,0.0105,2,0.1566,131,124,125.85,125.5,59.33,0.0092,4,0.1232
iccad4,HSCAD497,TP,HS,HS,True,1.0,0.0,results/xai/iccad4/iccad4_TP_HS_predHS_HSCAD497,84,131,109.15,114.44,88.1,0.2812,11,0.3232,67,116,72.77,107.73,28.54,0.0011,1,0.0,99,108,112.94,96.13,64.57,0.0046,2,0.1559
iccad4,NNHSCAD4999_9,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_9,187,92,107.54,112.39,79.96,0.0765,2,0.145,36,75,111.94,75.43,52.95,0.0132,1,0.0476,99,60,108.37,96.12,80.55,0.0022,5,0.2483
iccad4,NNHSCAD4999_8,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_8,187,92,110.19,77.1,67.76,0.0341,1,0.1693,0,0,112.0,112.0,0.0,0.0,0,0.0,99,59,106.7,113.45,84.47,0.0016,3,0.2563
iccad4,NNHSCAD4999_7,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad4/iccad4_TN_NHS_predNHS_NNHSCAD4999_7,187,92,125.68,68.65,62.67,0.02,3,0.1981,0,0,112.0,112.0,0.0,0.0,0,0.0,99,60,97.36,112.1,81.88,0.0026,8,0.2346
iccad4,NHSCAD418_6,FP,NHS,HS,False,0.9986,0.0014,results/xai/iccad4/iccad4_FP_NHS_predHS_NHSCAD418_6,76,131,112.04,139.88,78.55,0.2629,4,0.2681,0,0,112.0,112.0,0.0,0.0,0,0.0,115,92,118.61,120.49,69.64,0.0082,12,0.2301
iccad4,NHSCAD4147_4,FP,NHS,HS,False,0.9984,0.0016,results/xai/iccad4/iccad4_FP_NHS_predHS_NHSCAD4147_4,195,180,110.59,127.22,79.32,0.2159,7,0.2543,0,0,112.0,112.0,0.0,0.0,0,0.0,132,99,118.42,106.7,70.87,0.0112,10,0.1992
iccad4,NNHSCAD4602_8,FP,NHS,HS,False,0.9979,0.0021,results/xai/iccad4/iccad4_FP_NHS_predHS_NNHSCAD4602_8,115,131,111.81,132.47,82.05,0.2174,9,0.2666,0,0,112.0,112.0,0.0,0.0,0,0.0,115,131,117.2,114.44,72.63,0.0063,6,0.2281
iccad4,HSCAD498,FN,HS,NHS,False,0.0,1.0,results/xai/iccad4/iccad4_FN_HS_predNHS_HSCAD498,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,84,195,112.85,137.59,85.66,0.0039,10,0.2659
iccad4,HSCAD444,FN,HS,NHS,False,0.0001,0.9999,results/xai/iccad4/iccad4_FN_HS_predNHS_HSCAD444,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,188,52,117.58,104.77,96.14,0.0027,7,0.3628
iccad4,HSCAD488,FN,HS,NHS,False,0.0002,0.9998,results/xai/iccad4/iccad4_FN_HS_predNHS_HSCAD488,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,163,171,116.94,114.4,90.98,0.0103,18,0.3194
iccad5,HSCAD50,TP,HS,HS,True,0.5825,0.4175,results/xai/iccad5/iccad5_TP_HS_predHS_HSCAD50,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0
iccad5,HSCAD51,TP,HS,HS,True,0.5825,0.4175,results/xai/iccad5/iccad5_TP_HS_predHS_HSCAD51,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0
iccad5,HSCAD510,TP,HS,HS,True,0.5825,0.4175,results/xai/iccad5/iccad5_TP_HS_predHS_HSCAD510,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0
iccad5,NHSCAD510_1,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad5/iccad5_TN_NHS_predNHS_NHSCAD510_1,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,51,204,107.83,120.06,101.5,0.0036,7,0.4927
iccad5,NHSCAD51000,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad5/iccad5_TN_NHS_predNHS_NHSCAD51000,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,195,115,152.2,109.16,89.42,0.0021,6,0.3702
iccad5,NNHSCAD5999_9,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_9,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,60,204,121.28,113.83,101.19,0.0042,7,0.3949
iccad5,NNHSCAD5994_4,FP,NHS,HS,False,0.5204,0.4796,results/xai/iccad5/iccad5_FP_NHS_predHS_NNHSCAD5994_4,139,187,117.72,110.24,83.45,0.3771,4,0.2614,0,0,112.0,112.0,0.0,0.0,0,0.0,115,172,124.19,106.72,76.33,0.0048,9,0.212
iccad5,NHSCAD50_8,FP,NHS,HS,False,0.5825,0.4175,results/xai/iccad5/iccad5_FP_NHS_predHS_NHSCAD50_8,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0
iccad5,NHSCAD51_1,FP,NHS,HS,False,0.5825,0.4175,results/xai/iccad5/iccad5_FP_NHS_predHS_NHSCAD51_1,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0
iccad5,HSCAD516,FN,HS,NHS,False,0.0,1.0,results/xai/iccad5/iccad5_FN_HS_predNHS_HSCAD516,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,51,204,127.1,118.97,95.68,0.0063,7,0.3808
